type_id,lat,lng,type,id,district
1,30.6806892509078,104.046196890053,pk,1,金牛区
2,30.6931282152355,104.040863183473,pk,2,金牛区
3,30.6769079817607,104.041986216334,pk,3,金牛区
4,30.688930739828,104.040771968828,pk,4,金牛区
5,30.688930739828,104.040771968828,pk,5,金牛区
6,30.6886452321004,104.041532858499,pk,6,金牛区
8,30.6911075745903,104.041659091213,pk,7,金牛区
9,30.6615550930151,104.042822451165,pk,8,青羊区
11,30.6606959253862,104.041250882177,pk,9,青羊区
12,30.6911075745903,104.041659091213,pk,10,金牛区
13,30.6806892509078,104.046196890053,pk,11,金牛区
15,30.677254821129,104.047188674974,pk,12,金牛区
17,30.685486152858,104.043851348306,pk,13,金牛区
18,30.6804849149434,104.04477232543,pk,14,金牛区
20,30.6806712914863,104.046223110427,pk,15,金牛区
21,30.6913895415934,104.043571399849,pk,16,金牛区
22,30.6934117077129,104.046260109018,pk,17,金牛区
23,30.6668194435889,104.043862590612,pk,18,金牛区
24,30.6640497690794,104.044204917129,pk,19,青羊区
25,30.6638686267551,104.044107567991,pk,20,青羊区
26,30.6693296842774,104.045467558008,pk,21,金牛区
27,30.6689290464482,104.044491876937,pk,22,金牛区
28,30.6915876588377,104.043330809879,pk,23,金牛区
29,30.6731632801514,104.044582823947,pk,24,金牛区
31,30.668932723146,104.044552291195,pk,25,金牛区
32,30.6934277298585,104.046303916859,pk,26,金牛区
33,30.6934536212411,104.046378893291,pk,27,金牛区
34,30.6768737410879,104.04680755599,pk,28,金牛区
35,30.6770134422081,104.046953120133,pk,29,金牛区
36,30.6768358478997,104.04677119429,pk,30,金牛区
39,30.7133364104393,104.046913806823,pk,31,金牛区
41,30.6937089882714,104.047293062899,pk,32,金牛区
42,30.6923549864078,104.048571842267,pk,33,金牛区
43,30.6778310570369,104.049928095357,pk,34,金牛区
45,30.6903581084053,104.048002250709,pk,35,金牛区
46,30.6908300721287,104.05020959522,pk,36,金牛区
47,30.6903495639491,104.047964203212,pk,37,金牛区
48,30.6908523240185,104.050325919295,pk,38,金牛区
49,30.6700389024959,104.049811137992,pk,39,青羊区
51,30.6712395956656,104.05303927651,pk,40,青羊区
52,30.6693332002568,104.049745664349,pk,41,青羊区
53,30.6704585118117,104.047356214661,pk,42,金牛区
