,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
14,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,-1,-1,30.658868,104.09989200000001,0
15,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,-1,-1,30.658868,104.09989200000001,1
16,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,-1,-1,30.658868,104.09989200000001,1
17,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,-1,-1,30.658868,104.09989200000001,1
734,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,45000,40,30.659591,104.108873,1
735,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,45000,40,30.659591,104.108873,1
736,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,45000,40,30.659591,104.108873,1
737,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,45000,40,30.659591,104.108873,1
1454,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,45000,40,30.65962,104.09822700000001,0
1455,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,45000,40,30.65962,104.09822700000001,0
1456,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,45000,40,30.65962,104.09822700000001,0
1457,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,45000,40,30.65962,104.09822700000001,0
2174,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,45000,40,30.661369,104.090924,0
2175,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,1,0,0,0,0,45000,40,30.661369,104.090924,0
2176,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,45000,40,30.661369,104.090924,0
2177,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,1,0,0,0,0,45000,40,30.661369,104.090924,0
2894,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,4,0,0,0,0,44000,50,30.664244,104.09999599999999,1
2895,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,4,0,0,0,0,44000,50,30.664244,104.09999599999999,1
2896,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,4,0,0,0,0,44000,50,30.664244,104.09999599999999,1
2897,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,4,0,0,0,0,44000,50,30.664244,104.09999599999999,1
3614,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,4,0,0,0,0,44000,50,30.664248999999998,104.099896,0
3615,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,4,0,0,0,0,44000,50,30.664248999999998,104.099896,0
3616,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,4,0,0,0,0,44000,50,30.664248999999998,104.099896,1
3617,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,4,0,0,0,0,44000,50,30.664248999999998,104.099896,1
4334,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,47000,30,30.668139,104.10544499999999,0
4335,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,47000,30,30.668139,104.10544499999999,0
4336,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,47000,30,30.668139,104.10544499999999,1
4337,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,47000,30,30.668139,104.10544499999999,1
5054,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,1,0,0,1,1,45000,40,30.672845000000002,104.11085600000001,0
5055,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,1,0,0,1,1,45000,40,30.672845000000002,104.11085600000001,0
5056,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,1,0,0,1,1,45000,40,30.672845000000002,104.11085600000001,0
5057,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,1,0,0,1,1,45000,40,30.672845000000002,104.11085600000001,0
5774,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,2,0,0,0,0,44000,50,30.677715000000003,104.106109,0
5775,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,2,0,0,0,0,44000,50,30.677715000000003,104.106109,0
5776,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,2,0,0,0,0,44000,50,30.677715000000003,104.106109,0
5777,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,2,0,0,0,0,44000,50,30.677715000000003,104.106109,0
6494,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,-1,-1,30.681632,104.11870400000001,0
6495,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,0,0,0,0,0,-1,-1,30.681632,104.11870400000001,0
6496,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,-1,-1,30.681632,104.11870400000001,0
6497,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,0,0,0,0,0,-1,-1,30.681632,104.11870400000001,0
7214,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,2,0,0,0,0,44000,50,30.697985,104.08914200000001,0
7215,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,2,0,0,0,0,44000,50,30.697985,104.08914200000001,0
7216,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,2,0,0,0,0,44000,50,30.697985,104.08914200000001,0
7217,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,2,0,0,0,0,44000,50,30.697985,104.08914200000001,0
7934,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,0,0,0,1,1,-1,-1,30.698627000000002,104.10424499999999,0
7935,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,0,0,0,1,1,-1,-1,30.698627000000002,104.10424499999999,0
7936,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,0,0,0,1,1,-1,-1,30.698627000000002,104.10424499999999,1
7937,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,0,0,0,1,1,-1,-1,30.698627000000002,104.10424499999999,1
8654,2016-11-01 14:00:00,14,1,306,1,44,61,54,77,9,28.54,1,0,0,1,1,-1,-1,30.703692999999998,104.09334399999999,0
8655,2016-11-01 15:00:00,15,1,306,1,44,61,54,77,9,28.54,1,0,0,1,1,-1,-1,30.703692999999998,104.09334399999999,0
8656,2016-11-01 16:00:00,16,1,306,1,44,61,54,77,7,28.54,1,0,0,1,1,-1,-1,30.703692999999998,104.09334399999999,0
8657,2016-11-01 17:00:00,17,1,306,1,44,61,54,77,7,28.54,1,0,0,1,1,-1,-1,30.703692999999998,104.09334399999999,0
