,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
8,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
9,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
10,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
11,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
728,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
729,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
730,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
731,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
1448,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1449,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1450,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1451,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
2168,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2169,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2170,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2171,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2888,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2889,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2890,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2891,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
3608,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3609,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3610,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3611,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
4328,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4329,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4330,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4331,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
5048,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5049,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5050,2016-09-01 10:00:00,10,3,245,1,35,63,45,52,9,30.32,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5051,2016-09-01 11:00:00,11,3,245,1,35,64,46,52,11,30.32,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5768,2016-09-01 08:00:00,8,3,245,1,35,57,39,51,2,30.32,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
5769,2016-09-01 09:00:00,9,3,245,1,35,59,41,51,2,30.32,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
