,date,hour,dayofweek,dayofyear,dayofmonth,weekofyear,temperature,dew_point,humidity,wind_speed,pressure,poi1,poi2,poi3,poi4,poi5,road_level,speed_limit,lat,lng,label
14,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
15,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
16,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
17,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,4,2,2,2,45000,40,24.4923095406219,118.101796242728,0
734,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
735,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
736,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
737,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,1,5,0,6,6,45000,40,24.4803387231365,118.10574422846099,0
1454,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1455,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1456,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
1457,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,5,3,4,4,45000,40,24.4799277540867,118.13915407604799,0
2174,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2175,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2176,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2177,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,8,1,10,10,44000,50,24.482656166732898,118.15712288668001,0
2894,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2895,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2896,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
2897,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,9,2,11,11,-1,-1,24.4826611176739,118.156992616075,0
3614,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3615,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3616,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
3617,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,10,3,10,10,45000,40,24.4825421118369,118.156116931784,0
4334,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4335,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4336,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
4337,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,12,0,6,6,44000,50,24.4813469847889,118.161388626016,0
5054,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5055,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5056,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5057,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,0,3,1,12,12,44000,50,24.480330936363696,118.163479748727,0
5774,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
5775,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
5776,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
5777,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,4,16,9,11,11,-1,-1,24.470477101566896,118.16879598069401,0
6494,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,3,8,2,11,11,47000,30,24.4730370972598,118.171040023173,0
6495,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,3,8,2,11,11,47000,30,24.4730370972598,118.171040023173,0
6496,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,3,8,2,11,11,47000,30,24.4730370972598,118.171040023173,0
6497,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,3,8,2,11,11,47000,30,24.4730370972598,118.171040023173,0
7214,2016-09-01 14:00:00,14,3,245,1,35,68,50,52,7,30.2,5,11,5,17,17,44000,50,24.4745295387901,118.169120287544,0
7215,2016-09-01 15:00:00,15,3,245,1,35,68,48,49,9,30.2,5,11,5,17,17,44000,50,24.4745295387901,118.169120287544,0
7216,2016-09-01 16:00:00,16,3,245,1,35,68,50,52,7,30.2,5,11,5,17,17,44000,50,24.4745295387901,118.169120287544,0
7217,2016-09-01 17:00:00,17,3,245,1,35,64,52,64,7,30.2,5,11,5,17,17,44000,50,24.4745295387901,118.169120287544,0
