datetime,temperature,dew_point,humidity,wind,wind_speed,pressure,condition,precip_total,precip_hrly
2016-11-01 00:00:00,59,52,77,CALM,0,28.57,Fair,None,None
2016-11-01 01:00:00,61,52,72,VAR,2,28.54,Partly Cloudy,None,None
2016-11-01 02:00:00,61,50,68,SSE,4,28.54,Partly Cloudy,None,None
2016-11-01 03:00:00,59,52,77,SSW,2,28.52,Partly Cloudy,None,None
2016-11-01 04:00:00,57,52,82,CALM,0,28.52,Partly Cloudy,None,None
2016-11-01 05:00:00,57,54,88,VAR,2,28.52,Partly Cloudy,None,None
2016-11-01 06:00:00,59,54,82,VAR,2,28.52,Partly Cloudy,None,None
2016-11-01 07:00:00,57,54,88,SSW,2,28.52,Partly Cloudy,None,None
2016-11-01 08:00:00,59,54,82,CALM,0,28.54,Partly Cloudy,None,None
2016-11-01 09:00:00,61,54,77,VAR,2,28.57,Partly Cloudy,None,None
2016-11-01 10:00:00,61,54,77,VAR,2,28.57,Fog,None,None
2016-11-01 11:00:00,63,54,72,N,4,28.57,Fog,None,None
2016-11-01 12:00:00,63,54,72,NNE,7,28.57,Fog,None,None
2016-11-01 13:00:00,59,54,82,NNE,7,28.57,Light Rain,None,None
2016-11-01 14:00:00,61,54,77,NNE,9,28.54,Fog,None,None
2016-11-01 15:00:00,61,54,77,N,9,28.54,Partly Cloudy,None,None
2016-11-01 16:00:00,61,54,77,N,7,28.54,Fog,None,None
2016-11-01 17:00:00,61,54,77,NE,7,28.54,Partly Cloudy,None,None
2016-11-01 18:00:00,61,54,77,ESE,4,28.54,Partly Cloudy,None,None
2016-11-01 19:00:00,59,54,82,SW,2,28.57,Partly Cloudy,None,None
2016-11-01 20:00:00,59,54,82,CALM,0,28.6,Partly Cloudy,None,None
2016-11-01 21:00:00,59,55,88,SW,2,28.6,Partly Cloudy,None,None
2016-11-01 22:00:00,59,55,88,SW,4,28.63,Fog,None,None
2016-11-01 23:00:00,57,55,94,VAR,2,28.63,Fog,None,None
2016-11-02 00:00:00,57,55,94,SW,2,28.63,Fog,None,None
2016-11-02 01:00:00,57,55,94,VAR,2,28.6,Fog,None,None
2016-11-02 02:00:00,57,55,94,CALM,0,28.6,Fog,None,None
2016-11-02 03:00:00,57,55,94,CALM,0,28.6,Fog,None,None
2016-11-02 04:00:00,55,55,100,S,4,28.57,Fog,None,None
2016-11-02 05:00:00,55,55,100,VAR,2,28.57,Fog,None,None
2016-11-02 06:00:00,55,55,100,CALM,0,28.57,Fog,None,None
2016-11-02 07:00:00,55,55,100,NNW,2,28.6,Fog,None,None
2016-11-02 08:00:00,57,55,94,NNW,2,28.6,Fog,None,None
2016-11-02 09:00:00,57,55,94,NW,2,28.6,Fog,None,None
2016-11-02 10:00:00,59,55,88,SW,2,28.63,Fog,None,None
2016-11-02 11:00:00,61,57,88,VAR,2,28.63,Fog,None,None
2016-11-02 12:00:00,63,57,82,VAR,2,28.6,Fog,None,None
